date,source,site_id,poc,pm2_5,units,daily_aqi_value,local_site_name,daily_obs_count,percent_complete,aqs_parameter_code,aqs_parameter_description,method_code,method_description,cbsa_code,cbsa_name,state_fips_code,state,county_fips_code,county,site_latitude,site_longitude
2017-12-18,AQS,060831008,3,11,ug/m3 LC,55,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-19,AQS,060831008,3,7.9,ug/m3 LC,44,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-20,AQS,060831008,3,5.5,ug/m3 LC,31,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-21,AQS,060831008,3,3.4,ug/m3 LC,19,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-22,AQS,060831008,3,3.5,ug/m3 LC,19,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-23,AQS,060831008,3,3.8,ug/m3 LC,21,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-24,AQS,060831008,3,9.7,ug/m3 LC,52,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-25,AQS,060831008,3,6,ug/m3 LC,33,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-26,AQS,060831008,3,5.8,ug/m3 LC,32,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-27,AQS,060831008,3,9.2,ug/m3 LC,51,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-28,AQS,060831008,3,5.9,ug/m3 LC,33,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-29,AQS,060831008,3,3,ug/m3 LC,17,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-30,AQS,060831008,3,4.8,ug/m3 LC,27,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-31,AQS,060831008,3,11.8,ug/m3 LC,56,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-04,AQS,060832004,1,4.7,ug/m3 LC,26,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-05,AQS,060832004,1,8.4,ug/m3 LC,47,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-06,AQS,060832004,1,16.2,ug/m3 LC,64,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-07,AQS,060832004,1,41.6,ug/m3 LC,116,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-08,AQS,060832004,1,53.4,ug/m3 LC,145,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-09,AQS,060832004,1,33.6,ug/m3 LC,97,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-10,AQS,060832004,1,46.4,ug/m3 LC,128,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-11,AQS,060832004,1,48,ug/m3 LC,132,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-12,AQS,060832004,1,33.7,ug/m3 LC,97,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-13,AQS,060832004,1,13.2,ug/m3 LC,59,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-14,AQS,060832004,1,16,ug/m3 LC,64,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-15,AQS,060832004,1,25.9,ug/m3 LC,82,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-16,AQS,060832004,1,13.1,ug/m3 LC,58,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-17,AQS,060832004,1,10.7,ug/m3 LC,54,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-18,AQS,060832004,1,13,ug/m3 LC,58,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-19,AQS,060832004,1,6.3,ug/m3 LC,35,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-20,AQS,060832004,1,3,ug/m3 LC,17,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-21,AQS,060832004,1,2.9,ug/m3 LC,16,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-22,AQS,060832004,1,4.9,ug/m3 LC,27,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-23,AQS,060832004,1,8.3,ug/m3 LC,46,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-24,AQS,060832004,1,12.4,ug/m3 LC,57,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-25,AQS,060832004,1,13.5,ug/m3 LC,59,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-26,AQS,060832004,1,7.5,ug/m3 LC,42,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-27,AQS,060832004,1,8.4,ug/m3 LC,47,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-28,AQS,060832004,1,7.3,ug/m3 LC,41,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-29,AQS,060832004,1,6.5,ug/m3 LC,36,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
